Employed,Bank Balance,Annual Salary,Balance_to_Salary_Ratio,Balance_per_Employment,Salary_Bin_menengah,Salary_Bin_tinggi,Defaulted?,split
0,-0.03821885682186877,-1.3112690310747988,0.5260152924193047,-1.0353362487980857,0,0,0,train
1,-0.7700591799725764,0.7369819109134783,-0.6159174659325596,-0.14598104135424272,0,1,0,train
1,-1.0583030881398379,0.3507030017957252,-0.6769387496715557,-0.40895158681181815,1,0,0,train
1,-0.1141657301245774,0.3017605255856669,-0.33218318008015524,0.4524033594307086,1,0,0,train
1,0.8469528903712613,0.34507215320767526,0.0002560775450386157,1.3292506429977926,1,0,0,train
0,0.4985765607083577,-1.570030450496127,1.506369006290633,-1.0353362487980857,0,0,0,train
1,0.792842045387137,-0.0018200222167797013,0.10588116837529209,1.2798842625905842,1,0,0,train
1,-1.5561978712513658,1.3084407754255787,-0.8702266452994238,-0.8631907189684049,0,1,0,train
1,0.2155416287621326,1.6004750506478203,-0.43686448050102894,0.7532018205641968,0,1,0,train
1,-1.1063506848026758,0.25050250424537146,-0.6857438134699949,-0.45278634738903145,1,0,0,train
1,2.7325397746717273,0.8119615388337812,0.446225523602979,3.04950837411491,0,1,1,train
1,-0.5244246972933915,0.7608435585476108,-0.5419980833236469,0.07811609327054819,0,1,0,train
1,-0.7314710841271399,1.46661976714894,-0.6619848986088472,-0.110776368071936,0,1,0,train
1,-0.8071470906663544,0.19872550723390728,-0.569232397492683,-0.1798170664311896,1,0,0,train
1,0.4578423666598542,0.17519411684506403,-0.08838504661998825,0.9742575147326328,1,0,0,train
0,1.3488481672205452,-0.7865089903761882,0.9015189886676936,-1.0353362487980857,0,0,0,train
0,0.08481716151900695,-1.1272962744999664,0.4234222759487764,-1.0353362487980857,0,0,0,train
1,0.22952252093939393,0.10495716269894949,-0.15456031826121303,0.7659568614780348,1,0,0,train
0,2.0471218476028947,-1.0539874037548118,1.7239778827318066,-1.0353362487980857,0,0,1,train
1,0.5680226316872127,0.5069101855217016,-0.1429373855046728,1.0747771218151583,1,0,0,train
1,-1.7236560388052387,0.023156711671855876,-0.9118203417203491,-1.0159660748916763,1,0,0,train
